,title,price,UPC,product type,price_excl_vat,price_incl_vat,tax,stock,number_of_reviews
0,A Light in the Attic,£51.77,UPCa897fe39b1053632,Books,£51.77,£51.77,£0.00,22,0
1,Tipping the Velvet,£53.74,UPC90fa61229261140a,Books,£53.74,£53.74,£0.00,20,0
2,Soumission,£50.10,UPC6957f44c3847a760,Books,£50.10,£50.10,£0.00,20,0
3,Sharp Objects,£47.82,UPCe00eb4fd7b871a48,Books,£47.82,£47.82,£0.00,20,0
4,Sapiens: A Brief History of Humankind,£54.23,UPC4165285e1663650f,Books,£54.23,£54.23,£0.00,20,0
5,The Requiem Red,£22.65,UPCf77dbf2323deb740,Books,£22.65,£22.65,£0.00,19,0
6,The Dirty Little Secrets of Getting Your Dream Job,£33.34,UPC2597b5a345f45e1b,Books,£33.34,£33.34,£0.00,19,0
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,UPCe72a5dfc7e9267b2,Books,£17.93,£17.93,£0.00,19,0
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,UPCe10e1e165dc8be4a,Books,£22.60,£22.60,£0.00,19,0
9,The Black Maria,£52.15,UPC1dfe412b8ac00530,Books,£52.15,£52.15,£0.00,19,0
10,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,UPC0312262ecafa5a40,Books,£13.99,£13.99,£0.00,19,0
11,Shakespeare's Sonnets,£20.66,UPC30a7f60cd76ca58c,Books,£20.66,£20.66,£0.00,19,0
12,Set Me Free,£17.46,UPCce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,19,0
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,UPC3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,19,0
14,Rip it Up and Start Again,£35.02,UPCa34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,19,0
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,UPCdeda3e61b9514b83,Books,£57.25,£57.25,£0.00,19,0
16,Olio,£23.88,UPCfeb7cc7701ecf901,Books,£23.88,£23.88,£0.00,19,0
17,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,UPCe30f54cea9b38190,Books,£37.59,£37.59,£0.00,19,0
18,Libertarianism for Beginners,£51.33,UPCa18a4f574854aced,Books,£51.33,£51.33,£0.00,19,0
19,It's Only the Himalayas,£45.17,UPCa22124811bfa8350,Books,£45.17,£45.17,£0.00,19,0
20,In Her Wake,£12.84,UPC23356462d1320d61,Books,£12.84,£12.84,£0.00,19,0
21,How Music Works,£37.32,UPC327f68a59745c102,Books,£37.32,£37.32,£0.00,19,0
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,UPC5674a18a29a43ced,Books,£30.52,£30.52,£0.00,19,0
23,Chase Me (Paris Nights #2),£25.27,UPCc2e46a2ee3b4a322,Books,£25.27,£25.27,£0.00,19,0
24,Black Dust,£34.53,UPC00bfed9e18bb36f3,Books,£34.53,£34.53,£0.00,19,0
25,Birdsong: A Story in Pictures,£54.64,UPC9528d0948525bf5f,Books,£54.64,£54.64,£0.00,19,0
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,UPCc7d160c2c0de586f,Books,£22.50,£22.50,£0.00,19,0
27,Aladdin and His Wonderful Lamp,£53.13,UPC904208d6aa64b655,Books,£53.13,£53.13,£0.00,19,0
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,£40.30,UPC4c28def39d850cdf,Books,£40.30,£40.30,£0.00,18,0
29,Wall and Piece,£44.18,UPCccd9ffa25efabdea,Books,£44.18,£44.18,£0.00,18,0
30,The Four Agreements: A Practical Guide to Personal Freedom,£17.66,UPC6258a1f6a6dcfe50,Books,£17.66,£17.66,£0.00,18,0
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,UPC3c039985229453bf,Books,£31.05,£31.05,£0.00,18,0
32,The Elephant Tree,£23.82,UPC5dada2b7be26bd03,Books,£23.82,£23.82,£0.00,18,0
33,The Bear and the Piano,£36.89,UPC9f6568e9c95f60b0,Books,£36.89,£36.89,£0.00,18,0
34,Sophie's World,£15.94,UPC6be3beb0793a53e7,Books,£15.94,£15.94,£0.00,18,0
35,Penny Maybe,£33.29,UPC668fe56b17cfcd4f,Books,£33.29,£33.29,£0.00,18,0
36,Maude (1883-1993):She Grew Up with the country,£18.02,UPC094b269567e1c300,Books,£18.02,£18.02,£0.00,18,0
37,"In a Dark, Dark Wood",£19.63,UPC19ed25f4641d5efd,Books,£19.63,£19.63,£0.00,18,0
38,Behind Closed Doors,£52.22,UPCbe5cc846f45496fb,Books,£52.22,£52.22,£0.00,18,0
39,You can't bury them all: Poems,£33.63,UPC55f9da0c5eea2e10,Books,£33.63,£33.63,£0.00,17,0
40,Slow States of Collapse: Poems,£57.31,UPCb4fd5943413e089a,Books,£57.31,£57.31,£0.00,17,0
41,Reasons to Stay Alive,£26.41,UPCc8f7f0cb1abb9cac,Books,£26.41,£26.41,£0.00,17,0
42,Private Paris (Private #10),£47.61,UPCb12b89017878a60d,Books,£47.61,£47.61,£0.00,17,0
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,UPCc27f6e1f185b0383,Books,£23.11,£23.11,£0.00,17,0
44,Without Borders (Wanderlove #1),£45.07,UPCacddfeab2a407640,Books,£45.07,£45.07,£0.00,16,0
45,When We Collided,£31.77,UPC3ecb690d1542c568,Books,£31.77,£31.77,£0.00,16,0
46,"We Love You, Charlie Freeman",£50.27,UPC8d455c7539795d2a,Books,£50.27,£50.27,£0.00,16,0
47,Untitled Collection: Sabbath Poems 2014,£14.27,UPC657fe5ead67a7767,Books,£14.27,£14.27,£0.00,16,0
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,UPCd170b5a0da46380e,Books,£44.18,£44.18,£0.00,16,0
49,Unicorn Tracks,£18.78,UPC7ae099f3898e0209,Books,£18.78,£18.78,£0.00,16,0
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,UPC9a9d6e9bc555731e,Books,£25.52,£25.52,£0.00,16,0
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,UPC09555be379ad9253,Books,£16.28,£16.28,£0.00,16,0
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,UPC7858914fad68493c,Books,£31.12,£31.12,£0.00,16,0
53,This One Summer,£19.49,UPC51653ef291ab7ddc,Books,£19.49,£19.49,£0.00,16,0
54,Thirst,£17.27,UPC709822d0b5bcb7f4,Books,£17.27,£17.27,£0.00,16,0
55,The Torch Is Passed: A Harding Family Story,£19.09,UPC4eed62cf5f8d8edf,Books,£19.09,£19.09,£0.00,16,0
56,The Secret of Dreadwillow Carse,£56.13,UPCb5ea0b5dabed25a8,Books,£56.13,£56.13,£0.00,16,0
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,UPC142d767a56a9254d,Books,£56.41,£56.41,£0.00,16,0
58,The Past Never Ends,£56.50,UPC5ee94540d0749ea0,Books,£56.50,£56.50,£0.00,16,0
59,The Natural History of Us (The Fine Art of Pretending #2),£45.22,UPCcedf82b5086e4691,Books,£45.22,£45.22,£0.00,16,0
60,The Nameless City (The Nameless City #1),£38.16,UPC7d385d34d12e60ff,Books,£38.16,£38.16,£0.00,16,0
61,The Murder That Never Was (Forensic Instincts #5),£54.11,UPCd01ac97e2b8947c2,Books,£54.11,£54.11,£0.00,16,0
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,UPCaadee1c326d286e3,Books,£42.96,£42.96,£0.00,16,0
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,UPC31075275518532d7,Books,£23.89,£23.89,£0.00,16,0
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,UPC0da9aa9d24677fc0,Books,£16.77,£16.77,£0.00,16,0
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,UPC8c9e6bf2467d740d,Books,£20.59,£20.59,£0.00,16,0
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,UPCacd86a5426e21ca0,Books,£37.13,£37.13,£0.00,16,0
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,UPCa30b270e25489e5c,Books,£56.06,£56.06,£0.00,16,0
68,The Death of Humanity: and the Case for Life,£58.11,UPCbd261725b99f5983,Books,£58.11,£58.11,£0.00,16,0
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,UPC43c6a960757cf559,Books,£49.05,£49.05,£0.00,16,0
70,The Art Forger,£40.76,UPC80cfab6bcff3a244,Books,£40.76,£40.76,£0.00,16,0
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,UPCa3d2a4250807f1e9,Books,£19.73,£19.73,£0.00,16,0
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,UPC7d6d2a6c0276f81b,Books,£32.24,£32.24,£0.00,16,0
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,UPC87b0615b6e1f4d7b,Books,£41.83,£41.83,£0.00,16,0
74,Soul Reader,£39.58,UPCe6af5bf1163c1151,Books,£39.58,£39.58,£0.00,16,0
75,Security,£39.25,UPC6f78a0d744c35456,Books,£39.25,£39.25,£0.00,16,0
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,UPCc849f0b2f5d6a742,Books,£25.02,£25.02,£0.00,16,0
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,UPC53a3d11bb568cc8b,Books,£51.04,£51.04,£0.00,16,0
78,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,UPCd7310206583a54b6,Books,£19.83,£19.83,£0.00,16,0
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,UPCc82a3e358c773c73,Books,£50.40,£50.40,£0.00,16,0
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,UPC0fa6dceead7ce47a,Books,£13.61,£13.61,£0.00,16,0
81,Princess Between Worlds (Wide-Awake Princess #5),£13.34,UPC0e691eda369f4e09,Books,£13.34,£13.34,£0.00,16,0
82,"Pop Gun War, Volume 1: Gift",£18.97,UPCe80f8e518b300dfe,Books,£18.97,£18.97,£0.00,16,0
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,UPC7392c0032f92d816,Books,£36.28,£36.28,£0.00,16,0
84,Patience,£10.16,UPC9429b4d59c537af5,Books,£10.16,£10.16,£0.00,16,0
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,UPC889139b8e9c4cb36,Books,£15.44,£15.44,£0.00,16,0
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,UPC11809b1d323b3057,Books,£48.41,£48.41,£0.00,16,0
